idlenfour,title,word,pinyin,pointnm,flnm
6859,书写认识,,,,
6860,八个基础笔画1(横、竖、撇、捺),,,,
6861,八个基础笔画2（点、折、钩、提）,,,,
6862,短横的写法与应用（三）,三,san,,6862__san
6863,短横的写法与应用（正）,正,zheng,,6863__zheng
6864,短横的写法与应用（去）,去,qu,,6864__qu
6865,长横的写法与应用（五）,五,wu,,6865__wu
6866,长横的写法与应用（百）,百,bai_100,,6866__bai_100
6867,长横的写法与应用（甘）,甘,gan,,6867__gan
6868,短竖的写法与应用（支）,支,zhi,,6868__zhi
6869,短竖的写法与应用（卡）,卡,ka,,6869__ka
6870,短竖的写法与应用（巾）,,,,
6871,斜短竖的写法与应用（白）,白,bai,,6871__bai
6872,斜短竖的写法与应用（田）,田,tian,,6872__tian
6873,斜短竖的写法与应用（古）,,,,
6874,垂露竖的写法与应用（卜）,,,,
6875,垂露竖的写法与应用（丫）,丫,ya,,6875__ya
6876,垂露竖的写法与应用（末）,末,mo,,6876__mo
6877,悬针竖的写法与应用（斗）,,,,
6878,悬针竖的写法与应用（羊）,羊,yang,,6878__yang
6879,悬针竖的写法与应用（车）,,,,
6880,短撇的写法与应用（勺）,勺,shao,,6880__shao
6881,短撇的写法与应用（自）,自,zi_self,"{'所有点':'1,29','短撇':'1,4','短横':'22,25','短竖':'5,9','横折':'10,16'}",6881__zi_self
6882,短撇的写法与应用（舟）,,,,
6883,平撇的写法与应用（禾）,禾,he,,6883__he
6884,平撇的写法与应用（反）,反,fan,,6884__fan
6885,平撇的写法与应用（币）,币,bi,,6885__bi
6886,竖撇的写法与应用（儿）,儿,er,,6886__er
6887,竖撇的写法与应用（斤）,斤,jin,,6887__jin
6888,竖撇的写法与应用（井）,井,jing,,6888__jing
6889,吉人天相+吉+人+天+相,天,sky,,6889__tian_sky
6890,弧撇的写法与应用（大）,大,da,,6890__da
6891,弧撇的写法与应用（火）,火,huo,,6891__huo
6892,弧撇的写法与应用（央）,央,yang_center,,6892__yang_center
6893,长斜撇的写法与应用（在）,在,zai,,6893__zai
6894,长斜撇的写法与应用（右）,,,,
6895,长斜撇的写法与应用（布）,,,,
6896,弯尾撇的写法与应用（风）,,,,
6897,弯尾撇的写法与应用（戊）,戊,wu_his,,6897__wu_his
6898,弯尾撇的写法与应用（成）,成,cheng,,6898__cheng
6899,直捺的写法与应用（父）,父,fu_f,,6899__fu_f
6900,直捺的写法与应用（米）,米,mi,,6900__ mi
6901,直捺的写法与应用（交）,交,jiao,,6901__jiao
6902,平捺的写法与应用（之）,之,zhi_b,,6902__zhi_b
6903,平捺的写法与应用（芝）,芝,zhi_c,,6903__zhi_c
6904,平捺的写法与应用（达）,达,da_arr,,6904__da_arr
6905,斜点的写法与应用（令）,令,ling,,6905__ling
6906,斜点的写法与应用（主）,主,zhu,,6906__zhu
6907,斜点的写法与应用（冬）,冬,dong,,6907__dong
6908,垂点的写法与应用（小）,小,xiao,,6908__xiao
6909,垂点的写法与应用（穴）,穴,xue_cave,,6909__xue_cave
6910,垂点的写法与应用（农）,农,nong,,6910__nong
6911,长点的写法与应用（内）,内,nei,,6911__nei
6912,长点的写法与应用（么）,么,me,,6912__me
6913,长点的写法与应用（只）,只,zhi_a,,6913__zhi_a
7441,横折（横长竖短）书,书,shu_book,,7441__shu_book
7442,横折（横长竖短）西,西,xi,,7442__xi
7443,横折（横长竖短）昌,,,,
7444,横折（横短竖长）且,,,,
7445,横折（横短竖长）见,见,jian,,7445__jian
7446,横折（横短竖长）因,因,yin_because,,7446__yin_because
7447,在水一方+在+水+一+方,方,fang,,7447__fang
7448,竖折（竖短横长）山,,,,
7449,竖折（竖短横长）牙,牙,ya_tooth,,7449__ya_tooth
7450,竖折（竖短横长）岁,岁,sui,,7450__sui
7451,竖折（竖长横短）匠,,,,
7452,竖折（竖长横短）区,,,,
7453,竖折（竖长横短）臣,,,,
7454,横钩的写法与应用（买）,买,mai_b,,7454__mai_b
7455,横钩的写法与应用（尔）,尔,er_you,,7455__er_you
7456,横钩的写法与应用（空）,空,kong,,7456__kong
7457,竖钩的写法与应用（寸）,寸,cun,,7457__cun
7458,竖钩的写法与应用（乎）,乎,hu,,7458__hu
7459,竖钩的写法与应用（余）,余,yu,,7459__yu
7460,弯钩的写法与应用（子）,子,zi,,7460__zi
7461,弯钩的写法与应用（狂）,,,,
7462,弯钩的写法与应用（孔）,孔,kong_name,,7462__kong_name
7463,斜钩的写法与应用（戈）,戈,ge_war,,7463__ge_war
7464,斜钩的写法与应用（代）,代,dai,,7464__dai
7465,斜钩的写法与应用（民）,民,min,,7465__min
7466,卧钩的写法与应用（必）,必,bi_m,,7466__bi_m
7467,卧钩的写法与应用（思）,,,,
7468,卧钩的写法与应用（沁）,,,,
7469,斜提的写法与应用（习）,习,xi_study,,7469__xi_study
7470,斜提的写法与应用（虫）,虫,chong,,7470__chong
7471,斜提的写法与应用（式）,式,shi_f,,7471__shi_f
7472,竖提的写法与应用（长）,长,chang_l,,7472__chang_l
7473,竖提的写法与应用（氏）,氏,shi_name,,7473__shi_name
7474,竖提的写法与应用（良）,良,liang,,7474__liang
7475,失信不立+失+信+不+立,立,li,,7475__li
7476,先横后竖（古）,古,gu,,7476__gu
7477,先横后竖（木）,木,mu,,7477__mu
7478,先横后竖（丰）,丰,feng,,7478__feng
7479,先撇后捺（人）,人,ren,,7479__ren
7480,先撇后捺（个）,个,ge_a,,7480__ge_a
7481,先撇后捺（本）,本,ben,,7481__ben
7482,从上到下（它）,它,ta_it,,7482__ta_it
7483,从上到下（云）,云,yun,,7483__yun
7484,从上到下（亏）,亏,kui,,7484__kui
7485,从左到右（川）,川,chuan,,7485__chuan
7486,从左到右（叶）,叶,ye,,7486__ye
7487,从左到右（羽）,,,,
7488,先外后里（月）,月,yue_m,,7488__yue_m
7489,先外后里（凡）,凡,fan_or,,7489__fan_or
7490,先外后里（闪）,闪,shan,,7490__shan
7491,先外后里再封口（回）,,,,
7492,先外后里再封口（团）,,,,
7493,先外后里再封口（困）,,,,
7494,先中间后两边（水）,水,shui,,7494__shui
7495,先中间后两边（业）,,,,
7497,先中间后两边（丞）,,,,
7499,机不可失，时不再来。+机+时,,,,
7500,点在上部的写法与应用（义）,义,yi,,7500__yi
7501,点在上部的写法与应用（门）,门,men,,7501__men
7502,点在上部的写法与应用（衣）,衣,yi_close,,7502__yi_close
7503,点在右上的写法与应用（犬）,犬,quan,,7503__quan
7504,点在右上的写法与应用（发）,发,fa,,7504__fa
7505,点在右上的写法与应用（龙）,龙,long_d,,7505__long_d
7506,点在里面的写法与应用（叉）,叉,cha_fork,,7506__cha_fork
7507,点在里面的写法与应用（雨）,,,,
7508,点在里面的写法与应用（母）,,,,
7509,不知则问，不能则学。+则+能,,,,
7510,左上包围结构（左）,左,zuo_left,,7510__zuo_left
7511,左上包围结构（厅）,厅,ting,,7511__ting
7512,左上包围结构（店）,,,,
7515,右上包围结构（句）,句,ju,,7515__ju
7516,右上包围结构（可）,可,ke,,7516__ke
7517,右上包围结构（匀）,匀,yun_dis,,7517__yun_dis
7518,左下包围结构（过）,过,guo,,7518__guo
7519,左下包围结构（处）,处,chu,,7519__chu
7520,左下包围结构（旭）,,,,
7522,左下右包围结构（山）,山,shan_m,,7522__shan_m
7523,左下右包围结构（凶）,凶,xiong,,7523__xiong
7524,左下右包围结构（函）,,,,
7525,左上右包围结构（凤）,凤,feng_bird,,7525__feng_bird
7526,左上右包围结构（网）,网,wang,,7526__wang
7527,左上右包围结构（周）,,,,
7528,上左下包围结构（巨）,巨,ju_huge,,7528__ju_huge
7529,上左下包围结构（匹）,匹,pi,,7529__pi
7530,上左下包围结构（医）,,,,
7531,《风》+解+落,,,,
7532,《风》+浪+斜,,,,
